"Scenario","Parameter","Estimate","SD","CV"
"v17b_m1_64","SSB_Initial",2123.25,797.97,0.38
"v17b_m1_64","Bratio_2012",0.8,0.06,0.08
"v17b_m1_64","SSB_unfished",2506.63,799.6,0.32
"v17b_m2","SSB_Initial",1205.86,214.24,0.18
"v17b_m2","Bratio_2012",0.68,0.04,0.06
"v17b_m2","SSB_unfished",1585.55,215.48,0.14
"v17b_m2_64","SSB_Initial",2478.95,1085.22,0.44
"v17b_m2_64","Bratio_2012",0.83,0.07,0.08
"v17b_m2_64","SSB_unfished",2862.19,1086.73,0.38
"v17b_m3","SSB_Initial",21.34,0.43,0.02
"v17b_m3","Bratio_2012",0.61,0.01,0.01
"v17b_m3","SSB_unfished",1273.89,16.38,0.01
"v17b_m3_64","SSB_Initial",18.2,0.34,0.02
"v17b_m3_64","Bratio_2012",0.63,0.01,0.01
"v17b_m3_64","SSB_unfished",1352.51,16.73,0.01
"v19a_m3","SSB_Initial",261.89,43.47,0.17
"v19a_m3","Bratio_2012",0.1,0.03,0.26
"v19a_m3","SSB_unfished",547.62,50.68,0.09
"v21a_m3_f2_0310","SSB_Initial",18.32,1.96,0.11
"v21a_m3_f2_0310","Bratio_2012",0.45,0.02,0.04
"v21a_m3_f2_0310","SSB_unfished",886.69,26.13,0.03
"v21b_m3_f2_0310","SSB_Initial",16.55,0.68,0.04
"v21b_m3_f2_0310","Bratio_2012",0.53,0.01,0.03
"v21b_m3_f2_0310","SSB_unfished",1020.31,27.81,0.03
"v26a_m3","SSB_Initial",27.93,1.07,0.04
"v26a_m3","Bratio_2012",0.18,0.02,0.11
"v26a_m3","SSB_unfished",654.26,41.51,0.06
"v26a_m3_64","SSB_Initial",42.91,31.76,0.74
"v26a_m3_64","Bratio_2012",0.19,0.03,0.17
"v26a_m3_64","SSB_unfished",552.72,77.38,0.14
"v28a_m3_64_f2_0310","SSB_Initial",14.95,0.72,0.05
"v28a_m3_64_f2_0310","Bratio_2012",0.52,0.02,0.04
"v28a_m3_64_f2_0310","SSB_unfished",997.2,32.81,0.03
"v28a_m3_f2_0310","SSB_Initial",44.41,9.2,0.21
"v28a_m3_f2_0310","Bratio_2012",0.49,0.02,0.03
"v28a_m3_f2_0310","SSB_unfished",927.81,24.93,0.03
"v28b_m3_64_f2_0310","SSB_Initial",22.68,3.09,0.14
"v28b_m3_64_f2_0310","Bratio_2012",0.67,0.04,0.07
"v28b_m3_64_f2_0310","SSB_unfished",1490.28,204.06,0.14
"v28b_m3_f2_0310","SSB_Initial",230.53,99.67,0.43
"v28b_m3_f2_0310","Bratio_2012",0.65,0.04,0.06
"v28b_m3_f2_0310","SSB_unfished",1370.47,152.92,0.11
"v29a_m3_f2_0310","SSB_Initial",19.87,1.85,0.09
"v29a_m3_f2_0310","Bratio_2012",0.15,0.02,0.16
"v29a_m3_f2_0310","SSB_unfished",707.23,111.23,0.16
"v31a_m3_64_f2_0310","SSB_Initial",22.6,1.54,0.07
"v31a_m3_64_f2_0310","Bratio_2012",0.18,0.03,0.18
"v31a_m3_64_f2_0310","SSB_unfished",658.45,86.69,0.13
"v31a_m3_f2_0310","SSB_Initial",22.17,1.16,0.05
"v31a_m3_f2_0310","Bratio_2012",0.12,0.02,0.13
"v31a_m3_f2_0310","SSB_unfished",792.7,52.64,0.07
